Rank,Title,Year,Rating,Weight,Type,Min Players,Max Players,Community Player Count Min,Community Player Count Max,Community Best Player Count Min,Community Best Player Count Max,Playing Time Min,Playing Time Max,Age,Community Age,Designers,Artists,Categories
478,World Wonders,2023,7.61403,2.2707,"Strategy Game(307), Family Game(85)",1,5,1,4,3,3,50,70,12,10,Zé Mendes,Odysseas Stamoglou; Tom Ventre,Ancient; Territory Building
479,King of Tokyo,2011,7.11545,1.4845,Family Game(135),2,6,3,6,4,5,30,30,8,6,Richard Garfield,Gabriel Butik; Romain Gaschet; Paul Mafayon; Igor Polouchine; Benjamin Raynal; Jean-Baptiste Reynaud; Jonathan Silvestre; Régis Torres; Anthony Wolff,Dice; Fighting; Movies / TV / Radio theme; Science Fiction
480,Boonlake,2021,7.61454,3.7986,Strategy Game(281),1,4,1,3,3,3,80,160,14,14,Alexander Pfister,Klemens Franz,American West; Civilization; Economic; Exploration; Farming; Industry / Manufacturing; Territory Building
481,London (Second Edition),2017,7.48379,2.7205,Strategy Game(315),2,4,2,4,3,3,60,90,14,12,Martin Wallace,Mike Atkinson; Natalia Borek; Przemysław Sobiecki,Card Game; City Building
482,Kutná Hora: The City of Silver,2023,7.76305,3.3373,Strategy Game(279),2,4,2,4,3,4,60,120,13,12,Ondřej Bystroň; Petr Čáslava; Pavel Jarosch,Roman Bednář; Štěpán Drašťák; Dávid Jablonovský; Jakub Politzer; Milan Vavroň,City Building; Economic; Medieval
483,Dice Forge,2017,7.21246,1.974,Family Game(123),2,4,2,4,4,4,45,45,10,8,Régis Bonnessée,Biboun,Ancient; Dice; Fantasy; Mythology
484,Blitzkrieg!: World War Two in 20 Minutes,2019,7.54244,1.9059,"War Game(76), Strategy Game(303)",1,2,1,2,2,2,20,45,14,12,Paolo Mori,Alan D'Amico; Paolo Mori; Paul Sizer,Wargame; World War II
485,"Unmatched: Battle of Legends, Volume Two",2021,8.21402,2.0816,Strategy Game(271),2,4,2,4,2,4,20,40,9,10,Noah Cohen; Rob Daviau; Justin D. Jacobson; Chris Leder; Brian Neff; Kevin Rodgers,Zoë van Dijk; Garrett Kaida,Card Game; Fantasy; Fighting; Horror; Mythology; Novel-based
486,In the Year of the Dragon,2007,7.29243,3.078,Strategy Game(342),2,5,2,5,4,5,75,100,12,12,Stefan Feld,Harald Lieske; Michael Menzel,Economic; Medieval
487,Codenames: Pictures,2016,7.17804,1.2392,Party Game(34),2,8,4,8,6,6,15,15,10,8,Vlaada Chvátil,"David Cochard; Štěpán Drašťák; Dávid Jablonovský; Jana Kilianová; Martin ""Skam"" Krejčí; Tomáš Kučerovský; Filip Murmak; Filip Neduk; Michal Suchánek",Card Game; Deduction; Party Game; Spies / Secret Agents
488,Cubitos,2021,7.36666,2.169,Family Game(108),2,4,2,4,3,4,30,60,10,8,John D. Clair,Banu Andaru; Felicia Cano; Jacqui Davis; Kali Fitzgerald; Ryan Iler,Dice; Racing
489,Ticket to Ride: Märklin,2006,7.41116,2.2436,"Strategy Game(347), Family Game(105)",2,5,2,5,4,4,30,60,8,10,Alan R. Moon,Cyrille Daujean; Julien Delval,Trains; Transportation
490,Downforce,2017,7.25826,1.7354,Family Game(114),2,6,2,6,3,6,20,40,10,8,Rob Daviau; Justin D. Jacobson; Wolfgang Kramer,Tavis Coburn; Michael Crampton; Jason Taylor,Racing; Sports
491,Spartacus: A Game of Blood and Treachery,2012,7.46567,2.7275,Thematic(128),3,4,3,4,4,4,120,180,17,16,Aaron Dill; John Kovaleski; Sean Sweigart,Charles Woods,Ancient; Dice; Fighting; Miniatures; Movies / TV / Radio theme; Negotiation
492,Fromage,2024,7.68699,2.3647,Strategy Game(305),1,4,1,4,4,4,30,45,14,12,Matthew O'Malley; Ben Rosset,Pavel Zhovba,Economic; Farming
493,Azul: Stained Glass of Sintra,2018,7.28585,2.0131,"Abstract Game(22), Family Game(115)",2,4,2,4,3,3,30,45,8,8,Michael Kiesling,Chris Quilliams,Abstract Strategy; Puzzle; Renaissance
494,Massive Darkness 2: Hellscape,2022,7.99533,2.75,Thematic(65),1,6,1,4,3,3,60,60,14,12,Alex Olteanu; Marco Portugal,Édouard Guiton,Adventure; Exploration; Fantasy; Fighting; Miniatures
495,Zombicide: 2nd Edition,2021,7.92535,2.3757,Thematic(98),1,6,1,6,3,3,60,60,14,10,Raphaël Guiton; Jean-Baptiste Lullien; Nicolas Raoult,Édouard Guiton; Thierry Masson; Eric Nouhaut,Fighting; Horror; Miniatures; Science Fiction; Zombies
496,The LOOP,2020,7.7053,2.8045,Strategy Game(316),1,4,1,4,2,2,60,60,12,10,Maxime Rambourg; Théo Rivière,Simon Caruso,Card Game; Science Fiction
497,Horizons of Spirit Island,2022,8.133,3.554,Strategy Game(264),1,3,1,3,2,2,90,120,14,14,R. Eric Reuss,Jason Behnke; Kat G Birmelin; Cari Corene; Lucas Durham; Nolan Nasser; Jorge Ramos; Moro Rogers,Environmental; Fantasy; Fighting; Mythology; Renaissance; Territory Building
498,Endeavor,2009,7.36896,2.9097,Strategy Game(330),3,5,3,5,4,5,90,90,12,12,Carl de Visser; Jarratt Gray,Josh Cappel; Klemens Franz; Hanno Girke,Exploration; Nautical; Renaissance
499,King of Tokyo: Dark Edition,2020,7.6551,1.6241,Family Game(98),2,6,3,6,4,5,30,30,8,8,Richard Garfield,Paul Mafayon,Dice; Fighting; Movies / TV / Radio theme; Science Fiction
500,The Great Wall,2021,7.7972,3.9202,Strategy Game(292),1,4,1,4,3,3,120,180,13,14,Kamil 'Sanex' Cieśla; Robert Plesowicz; Łukasz Włodarczyk,Piotr Gacek,Economic; Fantasy; Territory Building
501,Die Macher,1986,7.5795,4.3079,Strategy Game(291),3,5,4,5,5,5,240,240,14,14,Karl-Heinz Schmiel,Bernd Brunnhofer; Marcus Gschwendtner; Harald Lieske,Economic; Negotiation; Political
502,Biblios,2007,7.19535,1.6881,"Strategy Game(369), Family Game(121)",2,4,2,4,3,3,30,30,10,8,Steve Finn,Steve Finn; David Palumbo,Card Game; Medieval; Religious
503,Caper: Europe,2022,7.62822,2.1032,"Strategy Game(322), Family Game(94)",2,2,2,2,2,2,25,35,10,10,Unai Rubio,Josh Emrich,Card Game
504,San Juan (Second Edition),2014,7.44004,2.0882,Strategy Game(333),2,4,2,4,3,3,45,60,10,10,Andreas Seyfarth,Harald Lieske; Mia Steingräber,Card Game; City Building; Economic
505,Firefly: The Game,2013,7.38266,2.9542,Thematic(140),1,4,1,4,3,3,120,240,13,12,Aaron Dill; John Kovaleski; Sean Sweigart,Charles Woods,Adventure; Exploration; Movies / TV / Radio theme; Science Fiction; Space Exploration; Travel
506,Ezra and Nehemiah,2024,8.16646,3.83,Strategy Game(255),1,4,1,4,3,3,90,120,13,12,S J Macdonald; Shem Phillips,Sam Phillips,Ancient; City Building; Religious
507,Tiny Towns,2019,7.18477,2.066,Family Game(127),1,6,1,5,3,3,45,60,14,8,Peter McPherson,Gong Studios; Matt Paquette & Co.,Abstract Strategy; Animals; City Building; Puzzle
508,Bruxelles 1893,2013,7.59223,3.5845,Strategy Game(301),2,5,2,5,4,4,50,125,13,14,Etienne Espreman,Alexandre Roche,Economic
509,Millennium Blades,2016,7.65819,3.6443,"Thematic(91), Strategy Game(312)",2,5,2,5,3,4,80,120,12,12,"D. Brad Talton, Jr.",Fábio Fontes,Card Game; Real-time
510,Trio,2021,7.38869,1.055,Family Game(112),3,6,3,6,4,5,15,15,6,6,宮野 華也 (Kaya Miyano),Laura Michaud; 別府さい (Sai Beppu),Animals; Card Game
511,Unmatched Adventures: Tales to Amaze,2023,7.95183,2.32,"Strategy Game(297), Family Game(84)",1,4,1,4,2,2,20,60,9,10,Jason Hager; Darren Reckner,JJ Ariosa; Anne Benjamin; Marie Bergeron; Ashley Floréal; Satoshi Kamanaka; Nastya Lehn; Kwanchai Moriya; Ian Reed (I); Jason Taylor,Card Game; Fantasy; Fighting; Mythology; Novel-based
512,Libertalia: Winds of Galecrest,2022,7.44016,2.1951,"Strategy Game(349), Family Game(106)",1,6,1,6,4,6,45,60,14,10,Paolo Mori,Lamaro Smith,Fantasy; Pirates
513,Civilization,1980,7.4902,3.642,Strategy Game(355),2,7,4,7,6,7,360,360,12,12,Francis Tresham,Ed Dovey; Charles Kibler; Rodger B. MacGowan; Guillaume Rohmer; Dale Sheaffer; Francis Tresham,Ancient; Civilization; Economic; Negotiation
514,Hitster,2022,7.5449,1.0224,Party Game(21),2,10,2,10,4,6,30,30,16,14,Marcus Carleson,N/A,Card Game; Music; Party Game; Print & Play; Trivia
515,Wavelength,2019,7.20767,1.1159,Party Game(27),2,12,4,12,6,8,30,45,14,10,Alex Hague; Justin Vickers; Wolfgang Warsch,Sofie Hannibal; Nan Na Hvass,Party Game
516,Knarr,2023,7.471,1.8976,Family Game(104),2,4,2,4,3,3,30,30,10,10,Thomas Dupont,Antoine Carrion,Card Game
517,Evolution: Climate,2016,7.44944,2.7258,Strategy Game(358),2,6,2,5,4,4,60,60,12,10,Dominic Crapuchettes; Dmitry Knorre; Sergey Machin,Ben Goldman; Catherine Hamilton,Animals; Card Game; Educational; Environmental; Prehistoric; Print & Play
518,Unmatched: Little Red Riding Hood vs. Beowulf,2020,8.0757,2,Strategy Game(302),2,2,2,2,2,2,20,20,9,10,Noah Cohen; Rob Daviau; Justin D. Jacobson; Brian Neff,Marc Aspinall; Ian O'Toole,Card Game; Fantasy; Fighting; Mythology; Novel-based
519,Scholars of the South Tigris,2023,8.01614,4.1338,Strategy Game(267),1,4,1,4,3,3,60,90,12,14,S J Macdonald; Shem Phillips,Mihajlo Dimitrievski,Arabian; Medieval
520,PitchCar,1995,7.27674,1.121,"Party Game(25), Family Game(118)",2,8,2,8,5,6,30,30,6,5,Jean du Poël,Jean du Poël,Action / Dexterity; Children's Game; Party Game; Racing; Sports
521,Woodcraft,2022,7.58475,3.8163,Strategy Game(323),1,4,1,3,3,3,60,120,12,14,Ross Arnold; Vladimír Suchý,Michal Peichl,Fantasy; Industry / Manufacturing
522,Santa Maria,2017,7.45626,3.0386,Strategy Game(336),1,4,1,4,3,3,45,90,12,12,Kristian Amundsen Østby; Eilif Svensson,Gjermund Bohne,Civilization; Farming
523,MicroMacro: Crime City – Full House,2021,7.64485,1.1667,Family Game(95),1,4,1,3,2,2,15,45,10,8,Johannes Sich,Daniel Goll; Tobias Jochinke; Johannes Sich,Deduction; Murder / Mystery
524,Sword & Sorcery,2017,7.86759,4.1289,Thematic(85),1,5,1,4,1,2,60,90,12,12,Simone Romano; Nunzio Surace,Mario Barbati; Fabrizio Fiorentino; Phroilan Gardner; Fausto Gutierrez,Adventure; Fantasy; Fighting; Miniatures
525,Black Orchestra,2016,7.4922,2.4178,Thematic(112),1,5,1,5,3,3,90,90,14,14,Philip duBarry,Cody Jones; Dann May; Lucas Soriano,Spies / Secret Agents; World War II
526,Fresco,2010,7.2396,2.6389,"Strategy Game(368), Family Game(124)",2,4,2,4,4,4,60,60,10,10,Wolfgang Panning; Marco Ruskowski; Marcel Süßelbeck,Oliver Schlemmer,Renaissance
527,Here I Stand,2006,7.87979,4.1959,War Game(20),2,6,3,6,6,6,180,360,14,14,Ed Beach,Rodger B. MacGowan; Mark Simonitch,Negotiation; Pike and Shot; Political; Religious; Renaissance; Wargame
528,Mythic Battles: Pantheon,2017,8.30072,3.0602,Strategy Game(313),2,4,2,4,2,2,60,90,14,10,Benoit Vogt,Georges Clarenko; David Demaret; Viktor Dragosani; Vincent Dutrait; Julien Fenoglio; Stéphane Gantiez; Gautier Giroud; Yannick Hennebo; Stef Kopinski; Aragorn Marks; Loïc Muzy; Paolo Parente; Guillem H. Pongiluppi; Pascal Quidault; David Rakoto; Stéphane Simon,Ancient; Card Game; Fighting; Miniatures; Mythology
529,Flash Point: Fire Rescue,2011,7.14646,2.1976,"Thematic(170), Family Game(141)",2,6,1,6,4,4,45,45,10,8,Kevin Lanzing,Luis Francisco; George Patsouras,Adventure
530,Sprawlopolis,2018,7.26832,1.8019,"Strategy Game(377), Family Game(126)",1,4,1,2,1,1,15,20,8,8,Steven Aramini; Danny Devine; Paul Kluka,Loïc Billiau; Dalton Cara; Danny Devine; Karolina Jędrzejak,Card Game; City Building; Print & Play; Territory Building
531,Space Hulk (Third Edition),2009,7.53309,2.7852,Thematic(106),2,2,2,2,2,2,60,60,12,12,Richard Halliwell,John Blanche; Alex Boyd; Robin Carey; Paul Dainton; David Gallagher; Neil Hodgson; Nuala Kinrade; Adrian Smith,Fighting; Miniatures; Science Fiction; Wargame
532,The Lord of the Rings: The Confrontation,2005,7.50579,2.1909,Strategy Game(345),2,2,2,2,2,2,30,30,14,10,Reiner Knizia; Eric M. Lang; Christian T. Petersen,Daarken; Chris Dien; John Gravato; John Howe; Michael Komarck; Damien Mammoliti; Scott Schomburg; Sedone Thongvilay,Adventure; Bluffing; Deduction; Fantasy; Movies / TV / Radio theme; Novel-based
533,Kingsburg,2007,7.16631,2.4213,"Strategy Game(389), Family Game(132)",2,5,2,5,4,4,90,90,13,10,Andrea Chiarvesio; Luca Iennaco,Mad4GameStyle,City Building; Dice; Fantasy; Medieval
534,High Society,1995,7.19346,1.4806,Family Game(128),3,5,3,5,4,5,15,30,10,10,Reiner Knizia,Marie Bergeron; Mateusz Bielski; Medusa Dollmaker; Wesly Gibs; Dahee Lee; Alvin Madden; Yusuke Mamada; Ulf Marckwort; Paul Niemeyer; Björn Pertoft; Piotr Sokołowski; Rolf Vogt; Markus Wagner,Card Game
535,Finspan,2025,7.68784,2.3289,"Strategy Game(351), Family Game(102)",1,5,1,4,2,3,45,60,10,10,David Gordon (I); Michael O'Connell (II),Ana Maria Martinez Jaramillo; Mesa Schumacher,Animals; Card Game; Educational
536,Flip 7,2024,7.23561,1.0325,"Party Game(41), Family Game(134)",3,18,3,8,5,6,20,20,8,6,Eric Olsen,O'Neil Mabile,Card Game; Number; Party Game
537,Nippon,2015,7.6195,3.7614,Strategy Game(309),2,4,2,4,4,4,60,120,12,14,Nuno Bizarro Sentieiro; Paulo Soledade,Mariano Iannelli,Economic; Industry / Manufacturing
538,Commands & Colors: Napoleonics,2010,8.05047,2.742,War Game(12),2,2,1,2,2,2,90,90,14,12,Richard Borg,Pierre Benigni; Pascal Da Silva; Donal Hegarty; Rodger B. MacGowan; Mark Simonitch,Napoleonic; Wargame
539,Macao,2009,7.40465,3.1332,Strategy Game(344),2,4,2,4,3,3,50,100,12,12,Stefan Feld,Julien Delval; Harald Lieske,Dice; Nautical
540,Trekking Through History,2022,7.52025,1.7586,Family Game(103),1,4,1,4,3,3,30,60,10,8,Charlie Bink,Eric Hibbeler,Adventure; Educational
541,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,7.55087,2.2059,Thematic(109),1,8,1,4,2,2,90,90,12,16,Suzanne Goldberg; Gary Grady; Jérôme Ropert,Bernard Bittler; Arnaud Demaegd; Neriac; Pascal Quidault,Deduction; Murder / Mystery; Novel-based; Post-Napoleonic; Puzzle; Spies / Secret Agents
542,Earthborne Rangers,2023,8.08645,3.4971,"Customizable(12), Thematic(73)",1,4,1,3,2,2,60,240,12,12,Andrew Fischer; Brooks Flugaur-Leavitt; Andrew Navaro; Adam Sadler; Brady Sadler,Joe Banner (II); Evan Simonet,Adventure; Card Game; Environmental; Exploration; Science Fiction
543,Bohnanza,1997,7.0773,1.6674,Family Game(156),2,7,3,7,4,5,45,45,12,8,Uwe Rosenberg,Björn Pertoft; Klemens Franz; Mady Nijenhuis; Beth Sobel,Card Game; Farming; Negotiation
544,Stockpile,2015,7.42183,2.128,Strategy Game(356),2,5,3,5,4,5,45,45,13,12,Brett Sobol; Seth Van Orden,Jacqui Davis; Ian O'Toole,Economic
545,Through the Desert,1998,7.17641,2.1646,"Abstract Game(20), Strategy Game(387)",2,5,2,5,3,3,45,45,10,8,Reiner Knizia,John Gravato; Atha Kanaani; Damien Mammoliti; Scott Nicely; Brian Schomburg; Claus Stephan,Abstract Strategy; Animals; Arabian
546,Reign of Cthulhu,2016,7.35657,2.1637,"Thematic(142), Strategy Game(406)",2,4,1,4,4,4,40,40,14,10,Matt Leacock; Chuck D. Yager,Philippe Guérin; Fred Jordan; Atha Kanaani; Paul Kluka; Chris Quilliams,Horror; Novel-based
547,Life of the Amazonia,2023,8.11143,2.8271,Strategy Game(272),1,4,1,3,2,2,60,150,14,10,Jamie Bloom,Sophia Kang,Animals; Puzzle
548,Rebirth,2024,7.76237,1.9673,Strategy Game(327),2,4,2,4,3,3,45,60,10,8,Reiner Knizia,"Anna ""Mikado"" Przybylska; Kate ""vesner"" Redesiuk",Environmental; Fantasy; Farming; Science Fiction
549,No Thanks!,2004,7.08207,1.1303,Family Game(142),3,7,3,7,4,5,20,20,8,8,Thorsten Gimmler,Oliver Freudenreich; Dennis Lohausen; Atelier Löwentor; SMLXL; Zongoh,Card Game
550,Clash of Cultures,2012,7.56364,3.6119,Strategy Game(332),2,4,2,4,3,4,180,240,14,14,Christian Marcussen,Chris Quilliams,Ancient; City Building; Civilization; Economic; Exploration; Territory Building
551,Fire in the Lake,2014,8.06679,4.1688,War Game(16),1,4,1,4,4,4,180,180,0,14,Mark Herman; Volko Ruhnke,Rodger B. MacGowan; Chechu Nieto; Mark Simonitch,Civil War; Modern Warfare; Political; Vietnam War; Wargame
552,Mice and Mystics,2012,7.20565,2.7367,Thematic(166),1,4,1,4,4,4,60,90,7,8,Jerry Hawthorne,JJ Ariosa; Chad Hoverter; David Richards,Adventure; Animals; Exploration; Fantasy; Fighting; Miniatures
553,Colt Express,2014,7.09659,1.8358,Family Game(153),2,6,3,6,5,6,40,40,10,8,Christophe Raimbault,Ian Parovel; Jordi Valbuena,American West; Fighting; Trains
554,Mandala,2019,7.44276,1.7815,"Abstract Game(14), Family Game(110)",2,2,2,2,2,2,20,20,10,10,Trevor Benjamin; Brett J. Gilbert,Klemens Franz,Abstract Strategy; Card Game
555,Fantastic Factories,2019,7.41452,2.2289,"Strategy Game(363), Family Game(117)",1,5,1,5,3,3,45,60,14,10,Joseph Z. Chen; Justin Faulkner,Joseph Z. Chen,Card Game; Dice; Industry / Manufacturing
556,Claustrophobia,2009,7.46488,2.486,Thematic(122),2,2,2,2,2,2,45,45,14,12,Croc,Bertrand Benoit; Aleksi Briclot; Stéphane Gantiez,Adventure; Exploration; Fantasy; Fighting; Horror; Miniatures
557,Dawn of the Zeds (Third Edition),2016,8.14881,3.8045,Thematic(61),1,5,1,2,1,1,90,120,14,14,Hermann Luttmann,Clark Miller,Fantasy; Horror; Wargame; Zombies
558,Dune,1979,7.5815,3.45,"Thematic(114), Strategy Game(360)",2,6,4,6,6,6,60,180,12,14,Bill Eberle; Jack Kittredge; Peter Olotka,Jean Baer; Linda Bound; Fabrice Lamy; Christophe Peulvast; Mick Uhl; Olivier Vatine; Chris White (I),Bluffing; Fighting; Negotiation; Novel-based; Political; Science Fiction
559,The Manhattan Project,2012,7.30765,2.9558,Strategy Game(376),2,5,2,5,4,4,120,120,13,10,Brandon Tibbetts,Viktor Csete; Clay Gardner; Sergi Marcet,Aviation / Flight; Economic; Industry / Manufacturing; World War II
560,Advanced Squad Leader,1985,8.01422,4.7411,War Game(18),2,2,1,2,2,2,120,480,14,16,Don Greenwood,Nicolás Eskubi; Charles Kibler; Rodger B. MacGowan,Wargame; World War II
561,Lancaster,2011,7.38204,2.9916,Strategy Game(357),2,5,3,5,4,4,60,60,10,12,Matthias Cramer,Martin Hoffmann; Claus Stephan,Medieval
562,Heroscape Master Set: Rise of the Valkyrie,2004,7.4519,2.2987,"Customizable(29), Thematic(136)",2,4,2,4,2,2,90,90,8,8,Stephen Baker; Rob Daviau; Craig Van Ness,Stephen Baker; Rob Daviau; Craig Van Ness,Adventure; Fantasy; Fighting; Miniatures; Science Fiction
563,Skymines,2022,7.93894,3.9108,Strategy Game(285),1,4,1,4,4,4,75,150,12,14,Viktor Kobilke; Alexander Pfister,Javier González Cava,Economic; Science Fiction
564,Thunderstone Quest,2018,7.71904,2.8932,Strategy Game(334),2,4,2,3,2,2,60,90,14,10,Mike Elliott; Bryan Reese; Mark Wootton,Jason Engle; Matt Paquette & Co.; David Su,Card Game; Fantasy
565,Citadels,2016,7.23271,2.056,Family Game(149),2,8,3,7,5,6,30,60,10,8,Bruno Faidutti,Andrew Bosley; Jeff Brown (II); James Combridge; Amit Dutta; Simon Eckert; Tyler Edlin; Felipe Escobar; Marko Fiedler; Tomasz Jedruszek; Yogesh C. Joshi; Alex Kim; William Koh; Pavel Kolomeyets; Yong Yi Lee; Mateusz Lenart; Ward Lindhout; Eddie Mendoza; Mark Molnar; Veli Nyström; Fernando Olmedo; Meg Owenson; Gracjana Zielińska,Bluffing; Card Game; City Building; Medieval
566,Black Rose Wars,2019,7.90496,3.4341,Strategy Game(335),2,4,3,4,4,4,90,90,14,14,Marco Montanaro,Fernando Armentano; Tommaso Incecchi; Henning Ludvigsen; Giovanni Pirrotta; Paolo Scippo,Bluffing; Fantasy; Miniatures; Renaissance
567,Undaunted: North Africa,2020,7.75521,2.3365,War Game(53),2,2,2,2,2,2,45,60,14,10,Trevor Benjamin; David Thompson (I),Roland MacDonald,Wargame; World War II
568,Glen More,2010,7.29289,2.6672,Strategy Game(367),2,5,2,5,4,4,60,60,13,12,Matthias Cramer,Loïc Billiau; Harald Lieske,City Building; Economic; Farming
569,Hadara,2019,7.38306,2.2105,Strategy Game(362),2,5,2,5,4,5,45,60,10,10,Benjamin Schwer,Dominik Mayer; Andreas Resch,City Building; Civilization
570,Zombie Kidz Evolution,2018,7.57298,1.3742,"Children's Game(1), Family Game(116)",2,4,2,4,3,4,15,15,7,6,Annick Lobet,Annick Lobet; Nikao,Children's Game; Fighting; Horror; Zombies
571,Quadropolis,2016,7.21193,2.2,Family Game(133),2,4,2,4,4,4,30,60,8,8,François Gandon,Cyrille Daujean; Sabrina Miramon,City Building; Environmental
572,A Few Acres of Snow,2011,7.36854,3.0289,"War Game(91), Strategy Game(371)",2,2,2,2,2,2,60,90,14,12,Martin Wallace,Peter Dennis,Age of Reason; American Indian Wars; Card Game; Territory Building; Wargame
573,Pipeline,2019,7.55458,3.9044,Strategy Game(348),2,4,2,4,3,3,60,120,12,14,Ryan Courtney,Ian O'Toole,Economic; Industry / Manufacturing
574,Aquatica,2019,7.35631,2.3202,Strategy Game(374),1,4,2,4,3,3,30,60,12,10,Ivan Tuzovsky,Irina Kuzmina; Andrew Modestov; Oleg Proshin; Artur Varenyev; Marat Zakirov,Card Game; Fantasy; Nautical
575,Regicide,2020,7.39417,1.975,"Strategy Game(397), Family Game(129)",1,4,1,4,2,2,10,30,10,10,Paul Abrahams; Luke Badger; Andy Richdale,Sketchgoblin,Card Game; Fantasy; Fighting
576,Mystic Vale,2016,7.23522,2.2626,Strategy Game(407),2,4,2,4,2,2,45,45,14,10,John D. Clair,Ralf Berszuck; Storn Cook; Andrew Gaia; Katherine Guevara; Heather Kreiter; Kiri Østergaard Leonard; Matt Paquette & Co.; Kiki Moch Rizky; Martin de Diego Sádaba,Card Game; Fantasy
577,Citadels,2000,7.05458,2.047,"Strategy Game(476), Family Game(178)",2,8,3,7,5,5,20,60,10,10,Bruno Faidutti,Cyrille Daujean; Julien Delval; Jesper Ejsing; Bruno Faidutti; Didier Graffet; Bjarne Hansen; Darrell Hardy; Florence Magnin; Jean-Louis Mourier; Scott Nicely; Hassan Nozadian; Christian T. Petersen; Brian Schomburg; Richard Spicer,Bluffing; Card Game; City Building; Deduction; Fantasy; Medieval
578,Friday,2011,7.11337,2.1544,Strategy Game(445),1,1,1,1,1,1,25,25,13,10,Friedemann Friese,Harald Lieske; Marcel-André Casasola Merkle,Adventure; Card Game; Fighting; Novel-based; Pirates; Print & Play
579,Barcelona,2023,7.7294,3.3605,Strategy Game(337),1,4,1,3,3,3,60,90,14,12,Dani Garcia,Zuzanna Kołakowska; Aleksander Zawada,City Building
580,Imperial Settlers: Empires of the North,2019,7.38942,2.8155,Strategy Game(375),1,4,1,3,2,2,45,90,10,10,Joanna Kijanka; Ignacy Trzewiczek,Grzegorz Bobrowski; Roman Kucharski,Ancient; Card Game; City Building; Civilization; Exploration; Nautical
581,Next Station: London,2022,7.42047,1.4785,Family Game(120),1,4,1,4,2,4,25,30,8,8,Matthew Dunstan,Maxime Morin,City Building; Trains
582,Shadows over Camelot,2005,7.09837,2.5682,Thematic(178),3,7,4,7,5,7,60,90,10,10,Bruno Cathala; Serge Laget,Cyrille Daujean; Julien Delval,Adventure; Bluffing; Deduction; Fantasy; Medieval; Mythology
583,Middara: Unintentional Malum – Act 1,2019,8.51042,4.1359,Thematic(53),1,4,1,4,4,4,60,60,15,12,Clayton Helme; Brooklynn Lundberg; Brenna Moncur; Ian Tate,Alex Hansen; Hector Sevilla Lujan; Rhett Mason; Jon Troy Nickel,Adventure; Exploration; Fantasy; Fighting; Miniatures
584,Potion Explosion,2015,7.12099,1.7804,Family Game(159),2,4,2,4,3,3,30,45,8,8,Stefano Castelli; Andrea Crespi; Lorenzo Silva,Giulia Ghigini,Fantasy; Puzzle
585,Canvas,2021,7.20163,1.732,Family Game(150),1,5,1,5,3,4,30,30,10,8,Jeff Chin; Andrew Nerger,Luan Huynh,Card Game; Puzzle
586,Aeon Trespass: Odyssey,2022,9.00219,4.7432,Thematic(51),1,4,1,4,1,2,90,0,12,14,Marcin Wełnicki,Bartek Fedyczak; Piotr Gacek; Mateusz Lenart,Adventure; Ancient; Civilization; Dice; Exploration; Fantasy; Fighting; Medieval; Miniatures; Mythology; Nautical; Science Fiction; Travel
587,Lords of Vegas,2010,7.35336,2.3436,Strategy Game(383),2,4,3,4,4,4,60,90,12,12,James Ernest; Mike Selinker,Steve Fastner; Rich Larson; Franz Vohwinkel,City Building; Dice; Economic; Negotiation
588,Hanabi,2010,7.03007,1.6904,Family Game(173),2,5,2,5,4,4,25,25,8,10,Antoine Bauza,Antoine Bauza; Gérald Guerlais; Laura Michaud; Albertine Ralenti,Card Game; Deduction; Memory
589,Unmatched Game System,2019,8.2287,1.9744,"Strategy Game(318), Family Game(100)",2,4,2,4,2,2,20,40,9,8,Rob Daviau; Justin D. Jacobson,Oliver Barrett,Card Game; Fantasy; Fighting
590,Point Salad,2019,7.09738,1.152,Family Game(157),2,6,2,6,3,4,15,30,10,8,Molly Johnson; Robert Melvin; Shawn Stankewich,Dylan Mangini,Card Game
591,Splendor: Marvel,2020,7.56141,1.7946,Family Game(125),2,4,2,4,3,3,30,30,10,6,Marc André,Marc André,Card Game; Comic Book / Strip; Economic
592,Amun-Re,2003,7.28329,3.0305,Strategy Game(384),3,5,4,5,5,5,90,90,12,12,Reiner Knizia,Isidre Monés; Franz Vohwinkel,Ancient; Economic
593,Stuffed Fables,2018,7.40892,2.4585,"Thematic(144), Family Game(137)",2,4,1,4,4,4,60,90,7,8,Jerry Hawthorne,Kristen Pauline; Tregis,Adventure; Animals; Exploration; Miniatures
594,EXIT: The Game – Dead Man on the Orient Express,2017,7.53609,2.6559,"Thematic(101), Family Game(113)",1,4,1,4,2,2,60,120,12,12,Inka Brand; Markus Brand,Silvia Christoph; Michaela Kienle; Sensit Communication GmbH; Claus Stephan; Franz Vohwinkel,Deduction; Murder / Mystery; Puzzle; Real-time
595,Shackleton Base: A Journey to the Moon,2024,8.02387,3.8907,Strategy Game(299),1,4,1,4,3,4,60,120,14,14,Fabio Lopiano; Nestore Mangone,David Sitbon,Science Fiction; Space Exploration
596,BattleLore,2006,7.3499,2.7666,"War Game(116), Thematic(156)",2,2,2,2,2,2,60,60,10,10,Richard Borg,Miguel Coimbra; Cyrille Daujean; Julien Delval; Nicolas Fructus; Christophe Madura,Fantasy; Medieval; Miniatures; Wargame
